step,t,id,group,x,y,vx,vy,speed,pressure,stopped
0,0.0,0,0xff0000ff,180.32373229811878,242.12342051341074,1.7851155831061531,-0.07283539038781874,1.7866008617319558,0.0,0
0,0.0,1,0xff0000ff,216.6449235170862,248.36430690187566,1.7172410789208998,-0.10466053550279318,1.7204274907200094,0.0,0
0,0.0,2,0xff0000ff,190.5617473479873,247.434682627903,1.518947221445527,-0.08322890843965255,1.5212257270823233,0.0,0
0,0.0,3,0xff0000ff,214.93841053566194,212.35933678356474,1.8344413047190204,0.060220378655604125,1.8354294850156043,0.0,0
0,0.0,4,0xff0000ff,222.25594420518624,248.84001687027896,1.631562801464787,-0.10297047462467084,1.634808886007185,0.0,0
0,0.0,5,0xff0000ff,212.93864948511475,240.30269553727703,1.7623231397563806,-0.0696744699777336,1.7636999123114638,0.0,0
0,0.0,6,0xff0000ff,186.91271570295086,225.5320078032192,1.8441632892755049,-0.002375065264898857,1.8441648186771327,0.0,0
0,0.0,7,0xff0000ff,168.42117652870078,232.40550391338545,1.9952047207601233,-0.0342359160459983,1.9954984278848704,0.0,0
0,0.0,8,0xff0000ff,171.85982879880132,204.95070407348925,1.6412715833539426,0.07685879971999209,1.6430702010016358,0.0,0
0,0.0,9,0xff0000ff,218.92722003860106,210.18815558228079,1.651911483800763,0.06420782899366122,1.653158853715189,0.0,0
0,0.0,10,0xff0000ff,203.81322302238394,236.3752901827204,1.5530669201336933,-0.04459156114314995,1.5537069433257802,0.0,0
0,0.0,11,0xff0000ff,197.72648086010602,199.44715502621034,1.9393396688988942,0.12318893378030339,1.9432482766673949,0.0,0
0,0.0,12,0xff0000ff,227.24754482618948,242.11917960332673,1.7779738265308875,-0.08165594309017667,1.7798479207142481,0.0,0
0,0.0,13,0xff0000ff,180.04274502470906,244.27925668489107,1.7057287260953897,-0.07830602175719142,1.70752520334853,0.0,0
0,0.0,14,0xff0000ff,192.5522209812199,222.79782759637982,1.8533967079837486,0.010017232375425905,1.853423778338203,0.0,0
0,0.0,15,0xff0000ff,188.8990690911836,237.90551930463448,1.9569932888850872,-0.06143507048965631,1.9579573541390882,0.0,0
0,0.0,16,0xff0000ff,224.442141530437,206.76480441943556,1.7301769292129954,0.08400866599290276,1.732215247116483,0.0,0
0,0.0,17,0xff0000ff,212.31684751008487,212.20384653687248,1.7130508026429745,0.05654220674787642,1.7139836853306565,0.0,0
0,0.0,18,0xff0000ff,200.41356217045993,245.6570714906515,1.6341760918173103,-0.08448057581820206,1.6363582941268924,0.0,0
0,0.0,19,0xff0000ff,183.71131681289003,216.37448195257906,1.8792682349073877,0.038938512457358306,1.8796715953815764,0.0,0
0,0.0,20,0xff0000ff,218.5001331068583,220.45698849977666,1.6703421649302994,0.019890920870784513,1.6704605941706998,0.0,0
0,0.0,21,0xff0000ff,182.87987117508084,216.08718641496478,1.6873431990501249,0.03605430270046538,1.6877283502163274,0.0,0
0,0.0,22,0xff0000ff,216.06229320072265,207.0314788701334,1.796960611884869,0.08409886331136475,1.7989274747682038,0.0,0
0,0.0,23,0xff0000ff,207.75630209649736,214.41270289184317,1.9587523135485716,0.052869919429349516,1.9594657063118883,0.0,0
0,0.0,24,0xff0000ff,171.26894348238423,202.27512016151508,1.8466983496249711,0.09788420375707395,1.8492907050684997,0.0,0
0,0.0,25,0xff0000ff,177.9435021905375,203.00807213308278,1.9498168109514156,0.10159831890446193,1.9524619880225482,0.0,0
0,0.0,26,0xff0000ff,177.29976215510675,226.35365779286005,1.8538081167347578,-0.005936646301595886,1.8538176224863598,0.0,0
0,0.0,27,0xff0000ff,214.84175225142468,251.15157427779582,1.6843043678564187,-0.11436133339968502,1.6881823711190578,0.0,0
0,0.0,28,0xff0000ff,168.66803871438682,211.76990149935096,1.886647989294997,0.057868511899808524,1.887535271241402,0.0,0
0,0.0,29,0xff0000ff,193.92418149900604,207.61707988825458,1.7206782469811228,0.0736572116401898,1.7222540504991235,0.0,0
0,0.0,30,0xff0000ff,218.5587870667689,203.7699795074638,1.6697172884087577,0.09293209817855962,1.672301467464214,0.0,0
0,0.0,31,0xff0000ff,170.4027470754882,238.91058158881543,1.8712080123749906,-0.060590684760178364,1.872188734250922,0.0,0
0,0.0,32,0xff0000ff,206.37862726321373,200.7517882080637,1.6320576679920225,0.10053945931586294,1.6351514958960485,0.0,0
0,0.0,33,0xff0000ff,217.26696323670825,221.4970914405418,1.787450085833157,0.0163593774350388,1.787524947679059,0.0,0
0,0.0,34,0xff0000ff,193.06867196233202,238.6691770224446,1.9943631726830497,-0.06699239251475315,1.9954880218155284,0.0,0
0,0.0,35,0xff0000ff,185.61593205777032,236.320146367103,1.70110593571832,-0.04647082180042628,1.7017405624286295,0.0,0
0,0.0,36,0xff0000ff,216.9478969153656,234.8471112099746,1.7120304807363305,-0.044011126431415235,1.7125960837920986,0.0,0
0,0.0,37,0xff0000ff,201.5568959702548,233.71745183981335,1.5642888372211607,-0.034224742413951875,1.5646631903537682,0.0,0
0,0.0,38,0xff0000ff,210.30349262722686,238.09974281591093,1.5216140049483362,-0.05114942462351673,1.5224734623940845,0.0,0
0,0.0,39,0xff0000ff,185.98781650868895,214.8857039219441,1.5185168416575803,0.03709728734676581,1.5189699164651684,0.0,0
0,0.0,40,0xff0000ff,183.5598792683422,201.60224577420234,1.590768381508649,0.08937757379215888,1.593277249666429,0.0,0
0,0.0,41,0xff0000ff,206.65726775797592,253.02908154574982,1.6556961732343365,-0.11798271393004116,1.6598944963006306,0.0,0
0,0.0,42,0xff0000ff,183.13562858753457,209.6983581304735,1.9099068306285132,0.07010604007106087,1.9111930720196475,0.0,0
0,0.0,43,0xff0000ff,193.40458381193835,240.48529978447752,1.9369090760770804,-0.0737677221733759,1.9383132991919592,0.0,0
0,0.0,44,0xff0000ff,196.09610796743863,220.8810887823763,1.9947145236397568,0.020341601528103964,1.9948182402344605,0.0,0
0,0.0,45,0xff0000ff,173.89147133962703,226.26908607946282,1.7235034337956168,-0.005133138786526407,1.7235110778347447,0.0,0
0,0.0,46,0xff0000ff,221.05015358552407,206.77886373751312,1.9127716373476162,0.0919722569434974,1.9149815228060978,0.0,0
0,0.0,47,0xff0000ff,218.9706872619071,206.97662655318857,1.900247875255811,0.089885150439297,1.902372552284047,0.0,0
0,0.0,48,0xff0000ff,193.6053314703413,235.3909196043357,1.8486547998321607,-0.04726740995575729,1.8492589805071686,0.0,0
0,0.0,49,0xff0000ff,193.68753127234135,229.78938408695495,1.7303116304522728,-0.02039594554976842,1.7304318342752687,0.0,0
0,0.0,50,0xff0000ff,195.83424954404194,219.38365770255297,1.6242740300293528,0.02257113307401015,1.6244308482284002,0.0,0
0,0.0,51,0xff0000ff,205.42834795017495,242.8979838133339,1.6690359172674998,-0.07570837305705573,1.6707521213154004,0.0,0
0,0.0,52,0xff0000ff,223.92262103261686,204.38656735004488,1.733489485968139,0.09501546959969813,1.7360915118234217,0.0,0
0,0.0,53,0xff0000ff,217.63172481126196,211.0950702262699,1.9160365013788616,0.06967720578394175,1.9173029983865373,0.0,0
0,0.0,54,0xff0000ff,224.33944496517626,204.37674900476543,1.8872501802944466,0.10360745528740985,1.8900919945369203,0.0,0
0,0.0,55,0xff0000ff,202.5398974846956,244.18126037363177,1.6364371481935276,-0.07897378082967409,1.6383416609627854,0.0,0
0,0.0,56,0xff0000ff,195.92436747492235,211.94266023841584,1.8841863233999927,0.060885782310164234,1.8851698013110392,0.0,0
0,0.0,57,0xff0000ff,175.53003681380963,216.37423938617042,1.9345623917864367,0.039312727710600695,1.9349617924585765,0.0,0
0,0.0,58,0xff0000ff,179.22301997131186,240.0600318926879,1.9656402258318921,-0.07035224333935938,1.9668988117214703,0.0,0
0,0.0,59,0xff0000ff,206.52978949086742,225.8536216269201,1.76280971221695,-0.003824361932117343,1.7628138606303825,0.0,0
